iter,db name,num queries,indexing,database,postfiltering
0,duckdb,10,2.7294e-05,0.400918,0.0204406
1,duckdb,10,2.6378e-05,0.401624,0.0206043
2,duckdb,10,5.5326e-05,0.399148,0.0206757
3,duckdb,10,2.6493e-05,0.402891,0.0205687
4,duckdb,10,3.9185e-05,0.400053,0.0205424
0,duckdb,100,8.9282e-05,0.502143,0.101845
1,duckdb,100,8.8098e-05,0.501958,0.101657
2,duckdb,100,8.9313e-05,0.501915,0.101812
3,duckdb,100,8.7694e-05,0.501564,0.101858
4,duckdb,100,8.9421e-05,0.504222,0.101631
0,duckdb,1000,0.000335289,0.501965,0.313307
1,duckdb,1000,0.000339883,0.505384,0.317687
2,duckdb,1000,0.000333211,0.50133,0.311882
3,duckdb,1000,0.000394361,0.505263,0.312791
4,duckdb,1000,0.000329931,0.50672,0.320055
0,duckdb,10000,0.00275231,0.506356,2.94496
1,duckdb,10000,0.00275905,0.501837,3.38823
2,duckdb,10000,0.00267178,0.499847,2.95508
3,duckdb,10000,0.00275295,0.502206,3.40036
4,duckdb,10000,0.00299181,0.501363,3.07526
0,duckdb,100000,0.0256062,0.505836,94.1166
1,duckdb,100000,0.0253598,0.49812,99.3797
2,duckdb,100000,0.0255315,0.497995,99.2904
3,duckdb,100000,0.0254144,0.498276,94.0745
4,duckdb,100000,0.0258191,0.500221,99.3997
0,duckdb,1000000,0.254946,0.497071,1671.82
1,duckdb,1000000,0.254267,0.495241,1678.68
2,duckdb,1000000,0.254521,0.496817,1684.56
3,duckdb,1000000,0.256756,0.497593,1692.59
4,duckdb,1000000,0.255358,0.495737,1699.47
0,rocksdb,10,2.7319e-05,0.140284,0.0209003
1,rocksdb,10,2.6865e-05,0.140878,0.0208474
2,rocksdb,10,2.7046e-05,0.141416,0.0206707
3,rocksdb,10,2.6187e-05,0.140228,0.0208641
4,rocksdb,10,2.6983e-05,0.140878,0.0209188
0,rocksdb,100,8.945e-05,0.227947,0.101707
1,rocksdb,100,8.9118e-05,0.22712,0.102464
2,rocksdb,100,8.7621e-05,0.228554,0.103225
3,rocksdb,100,8.9753e-05,0.227094,0.10203
4,rocksdb,100,8.8062e-05,0.226344,0.101933
0,rocksdb,1000,0.00034343,0.23285,0.315233
1,rocksdb,1000,0.000378953,0.235675,0.313522
2,rocksdb,1000,0.000558912,0.233733,0.312428
3,rocksdb,1000,0.000343048,0.233307,0.311578
4,rocksdb,1000,0.000339029,0.233415,0.3114
0,rocksdb,10000,0.002668,0.232706,3.05449
1,rocksdb,10000,0.00269855,0.231477,3.4982
2,rocksdb,10000,0.00266955,0.231892,3.50877
3,rocksdb,10000,0.00274955,0.232452,3.4563
4,rocksdb,10000,0.00269558,0.232304,3.48326
0,rocksdb,100000,0.0256144,0.229917,94.2124
1,rocksdb,100000,0.0254454,0.231972,96.6356
2,rocksdb,100000,0.0254769,0.231943,99.3657
3,rocksdb,100000,0.0254573,0.231611,94.2184
4,rocksdb,100000,0.0254481,0.230695,97.7092
0,rocksdb,1000000,0.253998,0.232544,1703.59
1,rocksdb,1000000,0.260977,0.229028,1704.41
2,rocksdb,1000000,0.256757,0.246356,1703.98
3,rocksdb,1000000,0.2567881,0.246356,1703.98
4,rocksdb,1000000,0.287987,0.2378972,1704.45
