iter,db name,num queries,db time,pf time,checksum
0,ducksdb,10,0.132505,0.0254238,880760200000
1,ducksdb,10,0.132185,0.0251667,880760200000
2,ducksdb,10,0.133482,0.0252664,880760200000
3,ducksdb,10,0.131989,0.0254,880760200000
4,ducksdb,10,0.133152,0.02607,880760200000
0,ducksdb,100,0.236325,0.109612,9823481200000
1,ducksdb,100,0.235863,0.110614,9823481200000
2,ducksdb,100,0.236204,0.1099,9823481200000
3,ducksdb,100,0.236674,0.110003,9823481200000
4,ducksdb,100,0.237652,0.11047,9823481200000
0,ducksdb,1000,0.243417,0.33227,99704371600000
1,ducksdb,1000,0.243081,0.332277,99704371600000
2,ducksdb,1000,0.244892,0.331394,99704371600000
3,ducksdb,1000,0.244984,0.330725,99704371600000
4,ducksdb,1000,0.242971,0.333411,99704371600000
0,ducksdb,10000,0.284642,3.17337,1001783458000000
1,ducksdb,10000,0.284276,3.71565,1001783458000000
2,ducksdb,10000,0.284006,3.1435,1001783458000000
3,ducksdb,10000,0.285699,3.3222,1001783458000000
4,ducksdb,10000,0.285408,3.16266,1001783458000000
0,ducksdb,100000,0.388175,99.5012,10009306629200000
1,ducksdb,100000,0.375974,99.4171,10009306629200000
2,ducksdb,100000,0.416194,104.982,10009306629200000
3,ducksdb,100000,0.392315,104.309,10009306629200000
4,ducksdb,100000,0.389467,103.901,10009306629200000
0,ducksdb,1000000,0.915917,1716.89,99983202613400000
1,ducksdb,1000000,0.86174,1722.48,99983202613400000
2,ducksdb,1000000,0.860915,1724.71,99983202613400000
3,ducksdb,1000000,0.843559,1707.77,99983202613400000
4,ducksdb,1000000,0.880497,1736.87,99983202613400000
0,rocksdb,10,0.146896,0.0265275,880760200000
1,rocksdb,10,0.144761,0.0272099,880760200000
2,rocksdb,10,0.14459,0.0264812,880760200000
3,rocksdb,10,0.148516,0.0268048,880760200000
4,rocksdb,10,0.147216,0.0268137,880760200000
0,rocksdb,100,0.242793,0.118854,9823481200000
1,rocksdb,100,0.255086,0.118901,9823481200000
2,rocksdb,100,0.239876,0.119156,9823481200000
3,rocksdb,100,0.239537,0.119761,9823481200000
4,rocksdb,100,0.241543,0.119195,9823481200000
0,rocksdb,1000,0.247352,0.358996,99704371600000
1,rocksdb,1000,0.249228,0.359047,99704371600000
2,rocksdb,1000,0.248315,0.359657,99704371600000
3,rocksdb,1000,0.248143,0.355939,99704371600000
4,rocksdb,1000,0.249076,0.356994,99704371600000
0,rocksdb,10000,0.330953,3.83741,1001783458000000
1,rocksdb,10000,0.324519,3.78648,1001783458000000
2,rocksdb,10000,0.315888,3.8111,1001783458000000
3,rocksdb,10000,0.322822,3.47775,1001783458000000
4,rocksdb,10000,0.295951,3.79839,1001783458000000
0,rocksdb,100000,0.653398,104.818,10009306629200000
1,rocksdb,100000,0.677598,103.75,10009306629200000
2,rocksdb,100000,0.632631,99.9926,10009306629200000
3,rocksdb,100000,0.677436,104.844,10009306629200000
4,rocksdb,100000,0.706763,105.657,10009306629200000
0,rocksdb,1000000,1.82962,1832.44,99983202613400000
1,rocksdb,1000000,1.70538,1783.5,99983202613400000
2,rocksdb,1000000,1.79758,1762.83,99983202613400000
3,rocksdb,1000000,1.74864,1768.45,99983202613400000
4,rocksdb,1000000,1.8859,1779.3,99983202613400000
