iter,queries,database,time (s)
0,10,sqlite3,0.107283
1,10,sqlite3,0.107485
2,10,sqlite3,0.106802
3,10,sqlite3,0.106908
4,10,sqlite3,0.10813
0,100,sqlite3,1.01402
1,100,sqlite3,1.01904
2,100,sqlite3,1.01687
3,100,sqlite3,1.01598
4,100,sqlite3,1.01513
0,1000,sqlite3,10.148
1,1000,sqlite3,10.461
2,1000,sqlite3,10.1806
3,1000,sqlite3,10.163
4,1000,sqlite3,10.1268
0,10000,sqlite3,101.531
1,10000,sqlite3,101.296
2,10000,sqlite3,101.495
3,10000,sqlite3,101.374
4,10000,sqlite3,101.682
0,100000,sqlite3,1014.81
1,100000,sqlite3,1013.91
2,100000,sqlite3,1013.79
3,100000,sqlite3,1019.65
4,100000,sqlite3,1018.87
