iter,strategy,distribution,num queries,domain,leaf len,range size,max query value,min query value,avg query value,avg node len,min node len,max node len,leaf nodes,tree depth,indexing time (s),query mapping time (s),sqlite time (s),rocksdb time (s),duckdb time (s)
0,lazy,normal,10,1000000,100000,100000,100000,100000,100000,65309,52465,100000,9,4,2.87E-06,2.55E-05,0.0699527,0.141074,0.0582015
1,lazy,normal,10,1000000,100000,100000,100000,100000,100000,65309,52465,100000,9,4,3.30E-06,2.60E-05,0.0676643,0.139923,0.0584444
2,lazy,normal,10,1000000,100000,100000,100000,100000,100000,65309,52465,100000,9,4,2.98E-06,2.54E-05,0.0700055,0.138598,0.0582299
3,lazy,normal,10,1000000,100000,100000,100000,100000,100000,65309,52465,100000,9,4,2.80E-06,2.51E-05,0.0678418,0.142605,0.0587728
4,lazy,normal,10,1000000,100000,100000,100000,100000,100000,65309,52465,100000,9,4,2.87E-06,2.58E-05,0.0680493,0.138579,0.0582975
0,lazy,normal,100,1000000,100000,100000,100000,100000,100000,60890,51851,75260,16,5,2.44E-05,6.65E-05,0.110953,0.224692,0.0923497
1,lazy,normal,100,1000000,100000,100000,100000,100000,100000,60890,51851,75260,16,5,2.44E-05,6.67E-05,0.112265,0.223575,0.0921842
2,lazy,normal,100,1000000,100000,100000,100000,100000,100000,60890,51851,75260,16,5,2.42E-05,6.62E-05,0.111281,0.224548,0.0921514
3,lazy,normal,100,1000000,100000,100000,100000,100000,100000,60890,51851,75260,16,5,2.42E-05,7.50E-05,0.110866,0.224537,0.0938579
4,lazy,normal,100,1000000,100000,100000,100000,100000,100000,60890,51851,75260,16,5,2.46E-05,6.68E-05,0.111297,0.224285,0.0924995
0,lazy,normal,1000,1000000,100000,100000,100000,100000,100000,62458,51851,81992,16,5,0.000176512,0.000184268,0.115288,0.229064,0.0939498
1,lazy,normal,1000,1000000,100000,100000,100000,100000,100000,62458,51851,81992,16,5,0.000175578,0.000179521,0.114404,0.230792,0.0940622
2,lazy,normal,1000,1000000,100000,100000,100000,100000,100000,62458,51851,81992,16,5,0.000178656,0.000188193,0.113835,0.231248,0.0948974
3,lazy,normal,1000,1000000,100000,100000,100000,100000,100000,62458,51851,81992,16,5,0.000174542,0.000180451,0.114529,0.228551,0.0951857
4,lazy,normal,1000,1000000,100000,100000,100000,100000,100000,62458,51851,81992,16,5,0.000175398,0.0001832,0.113866,0.229612,0.0956261
0,lazy,normal,10000,1000000,100000,100000,100000,100000,100000,62496,51851,82596,16,5,0.00159709,0.00118733,0.115662,0.228791,0.0945027
1,lazy,normal,10000,1000000,100000,100000,100000,100000,100000,62496,51851,82596,16,5,0.00156207,0.00117967,0.113235,0.230206,0.093797
2,lazy,normal,10000,1000000,100000,100000,100000,100000,100000,62496,51851,82596,16,5,0.00164782,0.00116101,0.112244,0.228779,0.0946155
3,lazy,normal,10000,1000000,100000,100000,100000,100000,100000,62496,51851,82596,16,5,0.00161607,0.00117046,0.113302,0.228499,0.0943822
4,lazy,normal,10000,1000000,100000,100000,100000,100000,100000,62496,51851,82596,16,5,0.00161822,0.00118339,0.113644,0.229052,0.0937082
0,lazy,normal,100000,1000000,100000,100000,100000,100000,100000,62499,51851,82622,16,5,0.0155972,0.0107116,0.112528,0.228729,0.0913742
1,lazy,normal,100000,1000000,100000,100000,100000,100000,100000,62499,51851,82622,16,5,0.0158597,0.0107454,0.112195,0.229662,0.0931149
2,lazy,normal,100000,1000000,100000,100000,100000,100000,100000,62499,51851,82622,16,5,0.0165529,0.0107309,0.112056,0.230137,0.0924391
3,lazy,normal,100000,1000000,100000,100000,100000,100000,100000,62499,51851,82622,16,5,0.0158534,0.0107126,0.112668,0.230238,0.091181
4,lazy,normal,100000,1000000,100000,100000,100000,100000,100000,62499,51851,82622,16,5,0.0155706,0.010714,0.111934,0.229121,0.0932273
0,lazy,normal,1000000,1000000,100000,100000,100000,100000,100000,62499,51851,82627,16,5,0.156551,0.106025,0.109596,0.227002,0.0894613
1,lazy,normal,1000000,1000000,100000,100000,100000,100000,100000,62499,51851,82627,16,5,0.156696,0.106834,0.110149,0.22586,0.0899567
2,lazy,normal,1000000,1000000,100000,100000,100000,100000,100000,62499,51851,82627,16,5,0.15593,0.105843,0.109134,0.225987,0.0907641
3,lazy,normal,1000000,1000000,100000,100000,100000,100000,100000,62499,51851,82627,16,5,0.160839,0.106557,0.111383,0.226331,0.089568
4,lazy,normal,1000000,1000000,100000,100000,100000,100000,100000,62499,51851,82627,16,5,0.157025,0.106129,0.109909,0.227139,0.0893121
0,additional,normal,10,1000000,100000,100000,100000,100000,100000,65309,52465,100000,9,4,4.20E-06,2.26E-05,0.0699527,0.141074,0.0582015
1,additional,normal,10,1000000,100000,100000,100000,100000,100000,65309,52465,100000,9,4,4.21E-06,2.22E-05,0.0676643,0.139923,0.0584444
2,additional,normal,10,1000000,100000,100000,100000,100000,100000,65309,52465,100000,9,4,4.33E-06,2.29E-05,0.0700055,0.138598,0.0582299
3,additional,normal,10,1000000,100000,100000,100000,100000,100000,65309,52465,100000,9,4,4.44E-06,2.28E-05,0.0678418,0.142605,0.0587728
4,additional,normal,10,1000000,100000,100000,100000,100000,100000,65309,52465,100000,9,4,4.08E-06,2.31E-05,0.0680493,0.138579,0.0582975
0,additional,normal,100,1000000,100000,100000,100000,100000,100000,60890,51851,75260,16,5,2.24E-05,5.22E-05,0.110953,0.224692,0.0923497
1,additional,normal,100,1000000,100000,100000,100000,100000,100000,60890,51851,75260,16,5,2.28E-05,5.32E-05,0.112265,0.223575,0.0921842
2,additional,normal,100,1000000,100000,100000,100000,100000,100000,60890,51851,75260,16,5,2.22E-05,5.19E-05,0.111281,0.224548,0.0921514
3,additional,normal,100,1000000,100000,100000,100000,100000,100000,60890,51851,75260,16,5,2.29E-05,5.23E-05,0.110866,0.224537,0.0938579
4,additional,normal,100,1000000,100000,100000,100000,100000,100000,60890,51851,75260,16,5,2.24E-05,5.18E-05,0.111297,0.224285,0.0924995
0,additional,normal,1000,1000000,100000,100000,100000,100000,100000,62458,51851,81992,16,5,0.00017477,0.000152954,0.115288,0.229064,0.0939498
1,additional,normal,1000,1000000,100000,100000,100000,100000,100000,62458,51851,81992,16,5,0.000205217,0.000136299,0.114404,0.230792,0.0940622
2,additional,normal,1000,1000000,100000,100000,100000,100000,100000,62458,51851,81992,16,5,0.000166829,0.000179422,0.113835,0.231248,0.0948974
3,additional,normal,1000,1000000,100000,100000,100000,100000,100000,62458,51851,81992,16,5,0.000165771,0.000202027,0.114529,0.228551,0.0951857
4,additional,normal,1000,1000000,100000,100000,100000,100000,100000,62458,51851,81992,16,5,0.000163425,0.000134998,0.113866,0.229612,0.0956261
0,additional,normal,10000,1000000,100000,100000,100000,100000,100000,62496,51851,82596,16,5,0.00163132,0.000815102,0.115662,0.228791,0.0945027
1,additional,normal,10000,1000000,100000,100000,100000,100000,100000,62496,51851,82596,16,5,0.00159291,0.000857506,0.113235,0.230206,0.093797
2,additional,normal,10000,1000000,100000,100000,100000,100000,100000,62496,51851,82596,16,5,0.00159442,0.000811067,0.112244,0.228779,0.0946155
3,additional,normal,10000,1000000,100000,100000,100000,100000,100000,62496,51851,82596,16,5,0.00158084,0.000860491,0.113302,0.228499,0.0943822
4,additional,normal,10000,1000000,100000,100000,100000,100000,100000,62496,51851,82596,16,5,0.00162298,0.000825927,0.113644,0.229052,0.0937082
0,additional,normal,100000,1000000,100000,100000,100000,100000,100000,62499,51851,82622,16,5,0.0155484,0.00796201,0.112528,0.228729,0.0913742
1,additional,normal,100000,1000000,100000,100000,100000,100000,100000,62499,51851,82622,16,5,0.0156875,0.00795516,0.112195,0.229662,0.0931149
2,additional,normal,100000,1000000,100000,100000,100000,100000,100000,62499,51851,82622,16,5,0.0158567,0.00795545,0.112056,0.230137,0.0924391
3,additional,normal,100000,1000000,100000,100000,100000,100000,100000,62499,51851,82622,16,5,0.015602,0.00806644,0.112668,0.230238,0.091181
4,additional,normal,100000,1000000,100000,100000,100000,100000,100000,62499,51851,82622,16,5,0.0155024,0.00794493,0.111934,0.229121,0.0932273
0,additional,normal,1000000,1000000,100000,100000,100000,100000,100000,62499,51851,82627,16,5,0.160827,0.0798344,0.109596,0.227002,0.0894613
1,additional,normal,1000000,1000000,100000,100000,100000,100000,100000,62499,51851,82627,16,5,0.15986,0.0797086,0.110149,0.22586,0.0899567
2,additional,normal,1000000,1000000,100000,100000,100000,100000,100000,62499,51851,82627,16,5,0.157311,0.0792032,0.109134,0.225987,0.0907641
3,additional,normal,1000000,1000000,100000,100000,100000,100000,100000,62499,51851,82627,16,5,0.160536,0.0792028,0.111383,0.226331,0.089568
4,additional,normal,1000000,1000000,100000,100000,100000,100000,100000,62499,51851,82627,16,5,0.155913,0.0788902,0.109909,0.227139,0.0893121
