database,iter,strategy,distribution,num queries,leaf size,range size,num leafs,avg leaf size,min leaf size,max leaf size,avg leaf size,min leaf size,max leaf size,leafs number,tree depth,indexing time,database time,post filtering time
sqlite,0,lazy,normal,10,1000000,100000,100000,100000,100000,100000,65309,52465,100000,9,4,1.5613e-05,0.0699527,0.0378146
sqlite,1,lazy,normal,10,1000000,100000,100000,100000,100000,100000,65309,52465,100000,9,4,1.1585e-05,0.0676643,0.0377735
sqlite,2,lazy,normal,10,1000000,100000,100000,100000,100000,100000,65309,52465,100000,9,4,1.1498e-05,0.0700055,0.0393508
sqlite,3,lazy,normal,10,1000000,100000,100000,100000,100000,100000,65309,52465,100000,9,4,1.0774e-05,0.0678418,0.0380123
sqlite,4,lazy,normal,10,1000000,100000,100000,100000,100000,100000,65309,52465,100000,9,4,1.1255e-05,0.0680493,0.0426798
sqlite,0,lazy,normal,100,1000000,100000,100000,100000,100000,100000,60890,51851,75260,16,5,5.3315e-05,0.110953,0.125525
sqlite,1,lazy,normal,100,1000000,100000,100000,100000,100000,100000,60890,51851,75260,16,5,5.1568e-05,0.112265,0.124924
sqlite,2,lazy,normal,100,1000000,100000,100000,100000,100000,100000,60890,51851,75260,16,5,5.3259e-05,0.111281,0.125382
sqlite,3,lazy,normal,100,1000000,100000,100000,100000,100000,100000,60890,51851,75260,16,5,5.1789e-05,0.110866,0.125209
sqlite,4,lazy,normal,100,1000000,100000,100000,100000,100000,100000,60890,51851,75260,16,5,5.1691e-05,0.111297,0.127327
sqlite,0,lazy,normal,1000,1000000,100000,100000,100000,100000,100000,62458,51851,81992,16,5,0.000345104,0.115288,0.327024
sqlite,1,lazy,normal,1000,1000000,100000,100000,100000,100000,100000,62458,51851,81992,16,5,0.000304385,0.114404,0.321495
sqlite,2,lazy,normal,1000,1000000,100000,100000,100000,100000,100000,62458,51851,81992,16,5,0.000346079,0.113835,0.322435
sqlite,3,lazy,normal,1000,1000000,100000,100000,100000,100000,100000,62458,51851,81992,16,5,0.000301887,0.114529,0.323773
sqlite,4,lazy,normal,1000,1000000,100000,100000,100000,100000,100000,62458,51851,81992,16,5,0.000297613,0.113866,0.319791
sqlite,0,lazy,normal,10000,1000000,100000,100000,100000,100000,100000,62496,51851,82596,16,5,0.00264956,0.115662,4.03704
sqlite,1,lazy,normal,10000,1000000,100000,100000,100000,100000,100000,62496,51851,82596,16,5,0.00263053,0.113235,3.71593
sqlite,2,lazy,normal,10000,1000000,100000,100000,100000,100000,100000,62496,51851,82596,16,5,0.00269999,0.112244,3.94052
sqlite,3,lazy,normal,10000,1000000,100000,100000,100000,100000,100000,62496,51851,82596,16,5,0.00264002,0.113302,3.56274
sqlite,4,lazy,normal,10000,1000000,100000,100000,100000,100000,100000,62496,51851,82596,16,5,0.00271037,0.113644,4.07152
sqlite,0,lazy,normal,100000,1000000,100000,100000,100000,100000,100000,62499,51851,82622,16,5,0.0250049,0.112528,95.6348
sqlite,1,lazy,normal,100000,1000000,100000,100000,100000,100000,100000,62499,51851,82622,16,5,0.0249183,0.112195,92.3782
sqlite,2,lazy,normal,100000,1000000,100000,100000,100000,100000,100000,62499,51851,82622,16,5,0.0253144,0.112056,95.7529
sqlite,3,lazy,normal,100000,1000000,100000,100000,100000,100000,100000,62499,51851,82622,16,5,0.0251939,0.112668,95.7271
sqlite,4,lazy,normal,100000,1000000,100000,100000,100000,100000,100000,62499,51851,82622,16,5,0.0251648,0.111934,95.506
sqlite,0,lazy,normal,1000000,1000000,100000,100000,100000,100000,100000,62499,51851,82627,16,5,0.248768,0.109596,1638.95
sqlite,1,lazy,normal,1000000,1000000,100000,100000,100000,100000,100000,62499,51851,82627,16,5,0.245696,0.110149,1642.17
sqlite,2,lazy,normal,1000000,1000000,100000,100000,100000,100000,100000,62499,51851,82627,16,5,0.247478,0.109134,1641.12
sqlite,3,lazy,normal,1000000,1000000,100000,100000,100000,100000,100000,62499,51851,82627,16,5,0.249039,0.111383,1644.13
sqlite,4,lazy,normal,1000000,1000000,100000,100000,100000,100000,100000,62499,51851,82627,16,5,0.247412,0.109909,1646.24
